cand,players,tag,salary,book_rank,book_rank_cov,sel_mean,sel_p194,aud_mean,aud_p194,gen_mean,book_rank_wemax,actual,actual_rank,actual_payout,e_payout,p_cash,p_top1000,p_top100,sim_mean,sim_q99,e_payout_capped,e_log
552,"00-0036554,00-0037252,00-0038128,00-0038542,00-0039040,00-0040122,00-0040124,00-0041523,JAX_DST",boom,49600,26.0,,120.58153,0.0035,120.58153,0.0036,120.58151,26.0,159.2,228388,0.0,106.8743,0.2165,0.0051,0.001,120.58153,182.76611,4.6743,0.5407974660676141
553,"00-0030279,00-0032764,00-0033526,00-0035710,00-0036223,00-0036410,00-0038124,00-0040128,JAX_DST",boom,49200,,,116.18555,0.0042,116.18555,0.0046,116.18555,,159.54,225303,0.0,4.4463,0.1759,0.0048,0.0003,116.18555,184.23428,3.4963,0.4383549864478764
554,"00-0033921,00-0034796,00-0036223,00-0037238,00-0039064,00-0039139,00-0039901,00-0040879,PHI_DST",boom,49900,,,113.69365,0.0005,113.69365,0.0002,113.693634,,141.86,413927,0.0,1.2267,0.1235,0.0003,0.0,113.69365,171.33571,1.2267,0.284556884616353
555,"00-0034829,00-0036275,00-0036442,00-0036900,00-0038563,00-0040122,00-0040129,00-0040735,JAX_DST",boom,49600,53.0,25.0,126.25335,0.0058,126.253334,0.0065,126.25335,43.0,147.76,347018,0.0,10.6941,0.2785,0.0037,0.0008,126.25335,187.3538,4.6941,0.6749260884198713
556,"00-0036900,00-0036971,00-0038606,00-0038608,00-0038935,00-0039139,00-0039146,00-0040784,PIT_DST",boom,49000,,,118.82111,0.001,118.8211,0.0018,118.82111,,129.60000000000002,550585,0.0,2.0406,0.1623,0.0012,0.0,118.82112,174.25957,2.0406,0.3860376882594741
557,"00-0030279,00-0034753,00-0035710,00-0036223,00-0038120,00-0038559,00-0038997,00-0039139,JAX_DST",boom,49400,,57.0,120.81825,0.0057,120.81825,0.005,120.81825,,143.94,389956,0.0,16.759,0.2165,0.0061,0.0007,120.81825,187.4916,4.959,0.5490769426375779
558,"00-0031588,00-0033921,00-0034753,00-0034844,00-0036410,00-0036442,00-0036900,00-0040238,JAX_DST",boom,49900,,,115.24485,0.0015,115.24485,0.0015,115.24485,,81.96000000000001,818799,0.0,1.3492,0.132,0.0005,0.0,115.24485,175.0528,1.3492,0.30427383500380384
559,"00-0034351,00-0034857,00-0036900,00-0036912,00-0038933,00-0039139,00-0039901,00-0040583,LV_DST",boom,50000,,,114.23681,0.0005,114.236824,0.0011,114.23681,,151.56,306028,0.0,1.8455,0.1223,0.0009,0.0001,114.236824,171.88103,1.5455,0.2878943747762847
560,"00-0035659,00-0036040,00-0036389,00-0036912,00-0038393,00-0038597,00-0038606,00-0039040,JAX_DST",boom,49800,22.0,,119.723526,0.0026,119.723526,0.0029,119.723526,20.0,127.82,569423,0.0,12.8327,0.1881,0.0021,0.0003,119.72354,180.35541,2.6827,0.4495936039362891
561,"00-0036410,00-0037248,00-0038117,00-0038120,00-0038597,00-0039064,00-0039648,00-0040676,JAX_DST",boom,49000,,,114.95215,0.001,114.95215,0.0013,114.95215,,122.9,617780,0.0,3.2348,0.1374,0.0011,0.0005,114.95215,172.08102,2.1348,0.3261945034562976
562,"00-0034753,00-0034796,00-0035640,00-0036040,00-0036223,00-0036550,00-0036963,00-0038542,JAX_DST",boom,49600,,,123.092384,0.003,123.09238,0.0043,123.092384,,159.36,226996,0.0,7.6153,0.2286,0.0022,0.0003,123.092384,183.1901,3.5153,0.5504314732931047
