season,week,pos,pts,salary,proven_any,proven_noinj
2022,14,WR,36.3,9000.0,True,True
2022,14,RB,31.5,6200.0,True,True
2022,14,RB,32.3,8500.0,True,True
2022,15,TE,22.7,3400.0,True,True
2022,15,RB,25.599999999999998,4700.0,False,False
2022,15,WR,37.9,4900.0,True,True
2022,15,RB,34.2,5200.0,True,True
2022,15,QB,39.7,8200.0,True,True
2022,15,WR,30.1,8000.0,True,True
2022,15,RB,29.299999999999997,8000.0,True,True
2022,15,WR,25.9,3500.0,True,True
2022,16,TE,30.4,4100.0,True,True
2022,16,WR,20.700000000000003,5900.0,True,True
2022,16,QB,17.400000000000002,5300.0,False,False
2022,16,TE,13.9,3900.0,False,False
2022,16,RB,37.699999999999996,5200.0,False,False
2022,16,WR,28.3,7200.0,True,True
2022,16,RB,12.8,5900.0,True,True
2022,16,WR,17.3,9100.0,True,True
2022,17,TE,20.8,3300.0,False,False
2022,17,WR,51.7,6500.0,True,True
2022,17,RB,27.700000000000003,5300.0,True,True
2022,17,RB,25.7,5000.0,True,True
2022,17,WR,28.5,5800.0,True,True
2022,17,WR,37.3,8500.0,True,True
2022,17,WR,29.700000000000003,6300.0,True,True
2022,17,QB,40.68,6100.0,True,True
2022,18,RB,23.2,7500.0,True,True
2022,18,QB,24.520000000000003,5000.0,True,False
2022,18,TE,25.0,3000.0,True,True
2022,18,RB,24.099999999999998,5200.0,False,False
2022,18,WR,33.2,6900.0,True,True
2022,18,WR,27.3,6300.0,True,True
2022,18,WR,26.4,7900.0,True,True
2022,18,WR,25.9,3700.0,True,True
2023,1,WR,29.1,4800.0,True,True
2023,1,WR,47.5,8200.0,True,True
2023,1,WR,35.9,4900.0,True,True
2023,1,WR,24.9,3000.0,False,False
2023,1,QB,32.14,6700.0,True,True
2023,1,TE,16.6,3500.0,True,True
2023,1,RB,26.700000000000003,6300.0,True,True
2023,1,RB,29.400000000000002,8400.0,True,True
2023,2,WR,32.1,6200.0,True,True
2023,2,WR,30.6,4800.0,False,False
2023,2,WR,34.1,7100.0,True,True
2023,2,QB,34.74,6000.0,True,True
2023,2,RB,28.0,5000.0,False,False
2023,2,WR,33.1,4900.0,True,True
2023,2,RB,28.900000000000002,5200.0,True,True
2023,2,TE,15.5,6300.0,True,True
2023,3,TE,22.4,4000.0,False,False
2023,3,WR,34.5,3900.0,True,True
2023,3,RB,45.2,6000.0,True,True
