season,week,position,player,salary,ownership_pct,fantasy_points
2024,3,WR,D. Johnson,4900,7.3%,29.2
2024,3,WR,J. Jefferson,8600,8.5%,20.1
2024,3,TE,D. Goedert,4600,5.8%,34.0
2024,3,FLEX,A. Jones,5900,3.1%,28.8
2024,3,DST,Buccaneers,3000,15.8%,2.0
2024,4,QB,J. Love,6000,2.1%,34.16
2024,4,RB,A. Jones,6400,18.9%,17.9
2024,4,RB,Z. Moss,5900,11.0%,17.8
2024,4,WR,N. Collins,7200,35.6%,36.1
2024,4,WR,J. Reed,6000,6.7%,30.1
2024,4,WR,D. Johnson,5600,30.3%,21.3
2024,4,TE,T. Kraft,3000,2.3%,21.3
2024,4,FLEX,B. Robinson Jr.,6100,23.5%,23.3
2024,4,DST,49ers,3800,3.3%,22.0
2024,5,QB,L. Jackson,7500,6.8%,37.42
2024,5,RB,C. Hubbard,6100,18.8%,18.5
2024,5,RB,D. Swift,5700,17.9%,20.0
2024,5,WR,J. Chase,8000,11.7%,44.3
2024,5,WR,T. McLaurin,6100,8.9%,17.4
2024,5,WR,T. Higgins,6000,8.7%,29.3
2024,5,TE,T. Kraft,3500,30.8%,24.8
2024,5,FLEX,D. Slayton,3900,4.6%,29.2
2024,5,DST,Broncos,2900,35.0%,16.0
2024,6,QB,B. Mayfield,6500,3.4%,31.9
2024,6,RB,N. Harris,5800,6.2%,23.2
2024,6,RB,B. Irving,5400,52.8%,18.5
2024,6,WR,C. Godwin,6900,9.3%,38.5
2024,6,WR,Z. Flowers,6500,15.8%,25.4
2024,6,WR,T. Dell,6200,9.1%,18.7
2024,6,TE,C. Otton,3500,18.3%,9.5
2024,6,FLEX,B. Robinson,6600,31.2%,25.5
2024,6,DST,Buccaneers,2600,29.3%,17.0
2024,7,QB,S. Darnold,6200,11.5%,17.26
2024,7,RB,K. Hunt,6000,13.7%,22.3
2024,7,RB,J. Gibbs,6900,3.0%,35.0
2024,7,WR,J. Jefferson,8500,21.0%,21.4
2024,7,WR,A. St. Brown,8300,8.1%,28.2
2024,7,WR,E. Moore,3200,5.5%,10.1
2024,7,TE,D. Njoku,4100,18.5%,23.6
2024,7,FLEX,M. Hardman,3300,0.9%,12.5
2024,7,DST,Bengals,3300,6.3%,15.0
2024,8,QB,B. Nix,5600,8.9%,29.76
2024,8,RB,J. Cook,7000,2.6%,31.3
2024,8,RB,B. Robinson,7200,8.1%,22.0
2024,8,WR,L. McConkey,5100,3.3%,32.1
2024,8,WR,J. Chase,8500,18.1%,20.4
2024,8,WR,C. Tillman,3300,19.7%,28.9
2024,8,TE,C. Otton,3500,35.2%,29.1
2024,8,FLEX,C. Hubbard,6700,1.1%,9.1
2024,8,DST,Bills,3000,1.6%,9.0
2024,9,QB,S. Darnold,6200,11.5%,17.26
2024,9,RB,K. Hunt,6000,13.7%,22.3
2024,9,RB,J. Gibbs,6900,3.0%,35.0
2024,9,WR,J. Jefferson,8500,21.0%,21.4
2024,9,WR,A. St. Brown,8300,8.1%,28.2
2024,9,WR,E. Moore,3200,5.5%,10.1
2024,9,TE,D. Njoku,4100,18.5%,23.6
2024,9,FLEX,M. Hardman,3300,0.9%,12.5
2024,9,DST,Bengals,3300,6.3%,15.0
2024,10,QB,B. Purdy,6500,16.3%,26.82
2024,10,RB,B. Robinson,7700,16.7%,32.4
2024,10,RB,A. Ekeler,5800,15.4%,18.1
2024,10,WR,C. Ridley,5700,3.8%,25.4
2024,10,WR,J. Jennings,5100,14.8%,16.3
2024,10,WR,N. Brown,4300,8.5%,6.3
2024,10,TE,G. Kittle,5800,19.0%,14.7
2024,10,FLEX,J. Conner,6500,9.8%,22.3
2024,10,DST,Patriots,2500,12.2%,16.0
2024,11,QB,J. Goff,6300,7.4%,37.58
2024,11,RB,A. Estime,4500,9.0%,5.5
2024,11,RB,B. Hall,7500,7.8%,31.1
2024,11,WR,A. St. Brown,8000,8.5%,41.7
2024,11,WR,J. Williams,5800,8.7%,25.6
2024,11,WR,K. Bourne,3100,1.3%,18.0
2024,11,TE,T. Hill,4500,3.8%,46.52
2024,11,FLEX,D. Achane,7200,36.0%,20.5
2024,11,DST,Dolphins,3000,13.2%,6.0
2024,12,QB,T. Tagovailoa,5800,7.2%,31.48
2024,12,RB,D. Achane,7500,23.7%,20.6
2024,12,RB,B. Irving,5300,8.9%,27.1
2024,12,WR,J. Meyers,5100,8.9%,25.1
2024,12,WR,J. Waddle,5300,4.9%,31.4
2024,12,WR,J. Addison,5100,1.5%,33.2
2024,12,TE,T. McBride,5600,9.6%,28.3
